"","year","university","school","degree","employment_rate_overall","employment_rate_ft_perm","basic_monthly_mean","basic_monthly_median","gross_monthly_mean","gross_monthly_median","gross_mthly_25_percentile","gross_mthly_75_percentile","SGP_Fees","SGP_PR_Fees"
"333",2019,"Singapore University of Social Sciences","School of Business","Bachelor of Science in Marketing",88.3,70,2993,3000,3169,3000,2800,3400,30000,62880
"334",2019,"Singapore University of Technology and Design","Singapore University of Technology and Design","Bachelor of Engineering (Engineering Product Development)",84.2,80.2,3991,3900,4042,4000,3660,4500,13300,18750
"335",2019,"Singapore University of Technology and Design","Singapore University of Technology and Design","Bachelor of Engineering (Information Systems Technology and Design)",88.8,85.7,4599,4400,4636,4400,3800,5000,13300,18750
"336",2019,"Singapore University of Technology and Design","Singapore University of Technology and Design","Bachelor of Engineering (Engineering Systems and Design)",89.9,87.3,3944,3800,4082,4000,3500,4400,13300,18750
"337",2019,"Singapore University of Technology and Design","Singapore University of Technology and Design","Bachelor of Science (Architecture and Sustainable Design)",100,91.8,3923,3897,3985,3900,3600,4100,13300,18750
"338",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy",96,88.7,3213,3000,3228,3000,3000,3100,9400,13200
"339",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Accountancy and Business",97.6,91.3,4615,4327,4704,4405,3500,5000,9400,13200
"340",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business",95.2,66.8,3973,3750,4113,3800,3300,4429,9400,13200
"341",2020,"Nanyang Technological University","College of Business (Nanyang Business School)","Business and Computing",97.4,97.4,5216,5200,5537,5400,5000,5750,8200,11500
"342",2020,"Nanyang Technological University","College of Engineering","Aerospace Engineering",91.2,75.8,4110,3980,4284,4000,3800,4945,8200,11500
"343",2020,"Nanyang Technological University","College of Engineering","Bioengineering",89.1,43.6,3428,3400,3473,3450,3200,3800,8200,11500
"344",2020,"Nanyang Technological University","College of Engineering","Chemical and Biomolecular Engineering",95,83,3732,3600,3948,3900,3500,4300,8200,11500
"345",2020,"Nanyang Technological University","College of Engineering","Civil Engineering",95.7,87,3458,3400,3495,3500,3200,3800,8200,11500
"346",2020,"Nanyang Technological University","College of Engineering","Computer Engineering",97.2,94.4,4069,4100,4136,4100,3627,4845,8200,11500
